cells	labels
Cy72_CD45_H02_S758_comb	B-cell
CY58_1_CD45_B02_S974_comb	T-cell
Cy71_CD45_D08_S524_comb	malignant
Cy81_FNA_CD45_B01_S301_comb	malignant
Cy80_II_CD45_B07_S883_comb	malignant
Cy81_Bulk_CD45_B10_S118_comb	malignant
Cy72_CD45_D09_S717_comb	T-cell
Cy74_CD45_A03_S387_comb	T-cell
Cy71_CD45_B05_S497_comb	malignant
Cy80_II_CD45_C09_S897_comb	malignant
Cy74_CD45_F09_S453_comb	T-cell
CY58_1_CD45_D03_S999_comb	T-cell
Cy72_CD45_C01_S697_comb	T-cell
Cy71_CD45_D07_S523_comb	T-cell
Cy81_FNA_CD45_C12_S228_comb	normal
Cy81_FNA_CD45_E05_S341_comb	malignant
Cy74_CD45_D04_S424_comb	T-cell
Cy74_CD45_C11_S419_comb	T-cell
Cy81_Bulk_CD45_E10_S154_comb	malignant
Cy80_II_CD45_H07_S955_comb	malignant
CY58_1_CD45_F01_S1021_comb	normal
Cy81_FNA_CD45_D09_S333_comb	malignant
Cy71_CD45_E12_S540_comb	malignant
Cy81_FNA_CD45_D07_S235_comb	T-cell
Cy72_CD45_D07_S715_comb	T-cell
Cy72_CD45_E08_S728_comb	T-cell
Cy71_CD45_B07_S499_comb	T-cell
Cy71_CD45_G02_S554_comb	malignant
Cy71_CD45_E03_S531_comb	T-cell
Cy74_CD45_H03_S471_comb	T-cell
Cy81_Bulk_CD45_B11_S119_comb	unlabeled
Cy80_II_CD45_H09_S957_comb	malignant
Cy72_CD45_E02_S722_comb	normal
Cy72_CD45_D03_S711_comb	B-cell
Cy80_II_CD45_B11_S887_comb	malignant
Cy81_Bulk_CD45_B07_S115_comb	normal
Cy81_Bulk_CD45_E04_S148_comb	malignant
CY58_1_CD45_A06_S966_comb	T-cell
Cy80_II_CD45_D11_S911_comb	malignant
Cy81_FNA_CD45_A09_S201_comb	T-cell
Cy81_FNA_CD45_B12_S216_comb	T-cell
Cy71_CD45_B08_S500_comb	T-cell
Cy81_FNA_CD45_G10_S370_comb	malignant
Cy71_CD45_E11_S539_comb	malignant
Cy81_FNA_CD45_C09_S321_comb	malignant
CY58_1_CD45_D11_S1007_comb	T-cell
Cy80_II_CD45_G07_S943_comb	malignant
Cy72_CD45_F12_S744_comb	T-cell
Cy80_II_CD45_G05_S941_comb	CAF
Cy72_CD45_C07_S703_comb	T-cell
Cy71_CD45_G08_S560_comb	malignant
Cy72_CD45_H07_S763_comb	normal
Cy74_CD45_F07_S451_comb	T-cell
Cy71_CD45_F06_S546_comb	malignant
